ID	A_coref	B_coref
test-1	True	False
test-2	True	False
test-3	True	False
test-4	False	True
test-5	True	False
test-6	False	True
test-7	True	False
test-8	False	True
test-9	True	False
test-10	True	False
test-11	False	True
test-12	False	True
test-13	False	True
test-14	False	True
test-15	True	False
test-16	False	True
test-17	True	False
test-18	True	False
test-19	False	True
test-20	False	True
test-21	False	True
test-22	False	True
test-23	False	True
test-24	True	False
test-25	False	True
test-26	False	True
test-27	False	True
test-28	False	True
test-29	False	True
test-30	False	True
test-31	True	False
test-32	False	True
test-33	False	True
test-34	False	True
test-35	False	True
test-36	False	True
test-37	True	False
test-38	False	True
test-39	False	True
test-40	False	True
test-41	False	True
test-42	True	False
test-43	False	True
test-44	False	True
test-45	False	True
test-46	False	True
test-47	True	False
test-48	True	False
test-49	False	True
test-50	True	False
test-51	False	True
test-52	False	True
test-53	False	True
test-54	False	False
test-55	False	True
test-56	False	True
test-57	False	True
test-58	False	True
test-59	True	False
test-60	False	True
test-61	False	True
test-62	True	False
test-63	True	False
test-64	False	True
test-65	True	False
test-66	False	True
test-67	False	True
test-68	False	True
test-69	True	False
test-70	False	True
test-71	False	True
test-72	True	False
test-73	False	True
test-74	True	False
test-75	False	True
test-76	False	True
test-77	True	False
test-78	False	True
test-79	False	True
test-80	False	True
test-81	False	True
test-82	True	False
test-83	False	True
test-84	False	True
test-85	False	True
test-86	False	True
test-87	False	False
test-88	True	False
test-89	True	False
test-90	False	True
test-91	False	True
test-92	False	True
test-93	False	True
test-94	True	False
test-95	False	True
test-96	True	False
test-97	False	True
test-98	True	False
test-99	False	True
test-100	True	False
test-101	True	False
test-102	False	True
test-103	False	True
test-104	True	False
test-105	True	False
test-106	False	True
test-107	True	False
test-108	False	True
test-109	False	True
test-110	True	False
test-111	True	False
test-112	False	True
test-113	True	False
test-114	False	True
test-115	False	True
test-116	False	True
test-117	False	True
test-118	True	False
test-119	False	True
test-120	False	True
test-121	True	False
test-122	False	True
test-123	True	False
test-124	True	False
test-125	False	True
test-126	True	False
test-127	False	True
test-128	True	False
test-129	False	True
test-130	False	True
test-131	False	True
test-132	False	True
test-133	False	True
test-134	False	True
test-135	False	True
test-136	True	False
test-137	True	False
test-138	False	True
test-139	False	True
test-140	False	True
test-141	False	True
test-142	False	True
test-143	False	True
test-144	False	True
test-145	False	True
test-146	False	True
test-147	False	True
test-148	True	False
test-149	False	True
test-150	True	False
test-151	True	False
test-152	True	False
test-153	True	False
test-154	False	True
test-155	True	False
test-156	False	True
test-157	True	False
test-158	True	False
test-159	False	True
test-160	False	True
test-161	False	True
test-162	True	False
test-163	True	False
test-164	False	True
test-165	False	True
test-166	False	True
test-167	False	True
test-168	False	True
test-169	False	True
test-170	False	True
test-171	False	True
test-172	False	True
test-173	False	True
test-174	False	True
test-175	False	True
test-176	True	False
test-177	True	False
test-178	False	True
test-179	False	True
test-180	False	True
test-181	True	False
test-182	False	True
test-183	False	True
test-184	True	False
test-185	False	True
test-186	False	True
test-187	True	False
test-188	False	True
test-189	True	False
test-190	False	True
test-191	False	True
test-192	True	False
test-193	True	False
test-194	False	True
test-195	False	True
test-196	False	True
test-197	True	False
test-198	False	True
test-199	False	True
test-200	True	False
test-201	False	True
test-202	False	True
test-203	False	True
test-204	True	False
test-205	True	False
test-206	True	False
test-207	True	False
test-208	False	True
test-209	False	True
test-210	True	False
test-211	False	True
test-212	False	True
test-213	True	False
test-214	False	True
test-215	True	False
test-216	False	True
test-217	False	True
test-218	False	True
test-219	True	False
test-220	True	False
test-221	False	True
test-222	True	False
test-223	False	True
test-224	False	True
test-225	False	False
test-226	False	True
test-227	False	False
test-228	False	True
test-229	False	True
test-230	False	True
test-231	False	True
test-232	False	True
test-233	False	True
test-234	False	True
test-235	False	True
test-236	False	False
test-237	True	False
test-238	False	True
test-239	False	True
test-240	True	False
test-241	True	False
test-242	False	True
test-243	False	True
test-244	False	True
test-245	False	True
test-246	False	True
test-247	False	True
test-248	False	True
test-249	True	False
test-250	False	True
test-251	False	True
test-252	False	False
test-253	True	False
test-254	False	True
test-255	False	True
test-256	True	False
test-257	True	False
test-258	True	False
test-259	False	True
test-260	True	False
test-261	False	True
test-262	False	True
test-263	False	True
test-264	False	True
test-265	False	True
test-266	False	True
test-267	False	True
test-268	False	True
test-269	False	True
test-270	False	True
test-271	False	True
test-272	True	False
test-273	False	True
test-274	False	True
test-275	True	False
test-276	True	False
test-277	True	False
test-278	False	True
test-279	True	False
test-280	False	True
test-281	False	True
test-282	False	True
test-283	True	False
test-284	False	True
test-285	False	True
test-286	True	False
test-287	True	False
test-288	True	False
test-289	True	False
test-290	True	False
test-291	True	False
test-292	False	True
test-293	False	True
test-294	False	True
test-295	False	True
test-296	False	True
test-297	False	True
test-298	False	True
test-299	False	True
test-300	False	True
test-301	False	True
test-302	False	True
test-303	False	True
test-304	False	True
test-305	False	True
test-306	False	True
test-307	False	True
test-308	True	False
test-309	False	True
test-310	True	False
test-311	False	True
test-312	False	True
test-313	False	True
test-314	True	False
test-315	False	True
test-316	False	True
test-317	False	True
test-318	False	True
test-319	False	True
test-320	False	True
test-321	False	True
test-322	False	True
test-323	False	True
test-324	False	True
test-325	True	False
test-326	False	True
test-327	False	True
test-328	False	True
test-329	False	True
test-330	False	True
test-331	True	False
test-332	True	False
test-333	False	True
test-334	True	False
test-335	False	True
test-336	True	False
test-337	True	False
test-338	False	True
test-339	False	True
test-340	False	True
test-341	False	True
test-342	True	False
test-343	False	False
test-344	False	True
test-345	True	False
test-346	True	False
test-347	False	True
test-348	False	True
test-349	False	True
test-350	False	True
test-351	False	True
test-352	False	True
test-353	False	True
test-354	True	False
test-355	True	False
test-356	False	True
test-357	False	True
test-358	True	False
test-359	True	False
test-360	False	True
test-361	True	False
test-362	False	True
test-363	True	False
test-364	False	True
test-365	False	True
test-366	False	True
test-367	False	True
test-368	False	True
test-369	False	True
test-370	False	False
test-371	False	True
test-372	False	True
test-373	False	True
test-374	False	True
test-375	True	False
test-376	True	False
test-377	False	True
test-378	False	True
test-379	False	True
test-380	True	False
test-381	True	False
test-382	True	False
test-383	True	False
test-384	False	True
test-385	False	True
test-386	False	True
test-387	True	False
test-388	False	True
test-389	True	False
test-390	True	False
test-391	False	True
test-392	True	False
test-393	False	True
test-394	False	True
test-395	True	False
test-396	False	True
test-397	True	False
test-398	False	True
test-399	False	True
test-400	True	False
test-401	False	True
test-402	True	False
test-403	True	False
test-404	True	False
test-405	False	True
test-406	False	True
test-407	True	False
test-408	False	True
test-409	False	True
test-410	False	True
test-411	False	True
test-412	True	False
test-413	False	True
test-414	False	True
test-415	True	False
test-416	False	False
test-417	False	True
test-418	True	False
test-419	False	True
test-420	False	True
test-421	False	True
test-422	False	True
test-423	True	False
test-424	False	True
test-425	True	False
test-426	True	False
test-427	False	True
test-428	False	True
test-429	True	False
test-430	False	True
test-431	False	True
test-432	False	True
test-433	True	False
test-434	False	True
test-435	False	True
test-436	False	True
test-437	False	True
test-438	True	False
test-439	False	False
test-440	False	True
test-441	True	False
test-442	True	False
test-443	False	True
test-444	False	True
test-445	False	True
test-446	True	False
test-447	True	False
test-448	False	True
test-449	False	True
test-450	False	True
test-451	True	False
test-452	True	False
test-453	False	True
test-454	True	False
test-455	False	True
test-456	False	True
test-457	False	True
test-458	False	True
test-459	False	True
test-460	False	True
test-461	False	True
test-462	False	True
test-463	True	False
test-464	True	False
test-465	False	True
test-466	False	True
test-467	False	True
test-468	False	True
test-469	False	True
test-470	False	True
test-471	False	True
test-472	False	True
test-473	True	False
test-474	False	True
test-475	True	False
test-476	False	True
test-477	False	True
test-478	True	False
test-479	False	True
test-480	False	True
test-481	True	False
test-482	True	False
test-483	True	False
test-484	False	True
test-485	False	True
test-486	True	False
test-487	False	True
test-488	False	True
test-489	True	False
test-490	False	True
test-491	False	True
test-492	False	True
test-493	False	True
test-494	False	True
test-495	False	True
test-496	False	True
test-497	True	False
test-498	False	True
test-499	False	False
test-500	False	True
test-501	False	True
test-502	False	True
test-503	True	False
test-504	True	False
test-505	False	True
test-506	False	True
test-507	True	False
test-508	False	True
test-509	False	True
test-510	False	True
test-511	False	True
test-512	False	True
test-513	True	False
test-514	False	True
test-515	False	True
test-516	False	True
test-517	True	False
test-518	False	True
test-519	False	True
test-520	False	True
test-521	False	True
test-522	True	False
test-523	True	False
test-524	False	True
test-525	False	True
test-526	False	True
test-527	True	False
test-528	False	True
test-529	True	False
test-530	False	True
test-531	False	True
test-532	False	True
test-533	False	True
test-534	False	True
test-535	False	True
test-536	True	False
test-537	False	True
test-538	False	True
test-539	False	True
test-540	False	True
test-541	True	False
test-542	False	True
test-543	False	True
test-544	True	False
test-545	False	True
test-546	False	True
test-547	True	False
test-548	False	True
test-549	False	True
test-550	False	True
test-551	False	True
test-552	False	True
test-553	False	True
test-554	False	True
test-555	False	True
test-556	True	False
test-557	False	True
test-558	False	True
test-559	True	False
test-560	False	True
test-561	False	True
test-562	True	False
test-563	False	True
test-564	True	False
test-565	False	True
test-566	True	False
test-567	False	True
test-568	True	False
test-569	False	True
test-570	True	False
test-571	False	True
test-572	True	False
test-573	False	True
test-574	False	True
test-575	False	True
test-576	True	False
test-577	False	True
test-578	True	False
test-579	True	False
test-580	True	False
test-581	False	True
test-582	False	True
test-583	True	False
test-584	False	True
test-585	True	False
test-586	False	True
test-587	False	True
test-588	False	True
test-589	False	True
test-590	True	False
test-591	False	True
test-592	False	True
test-593	False	True
test-594	False	True
test-595	True	False
test-596	False	True
test-597	False	True
test-598	False	False
test-599	False	True
test-600	False	True
test-601	True	False
test-602	True	False
test-603	True	False
test-604	False	True
test-605	False	True
test-606	True	False
test-607	False	True
test-608	True	False
test-609	False	False
test-610	True	False
test-611	False	True
test-612	False	True
test-613	False	True
test-614	False	True
test-615	True	False
test-616	False	True
test-617	False	True
test-618	False	True
test-619	False	True
test-620	True	False
test-621	False	True
test-622	False	True
test-623	False	True
test-624	False	True
test-625	False	True
test-626	False	True
test-627	False	True
test-628	False	True
test-629	False	True
test-630	False	True
test-631	False	True
test-632	False	True
test-633	True	False
test-634	False	True
test-635	False	True
test-636	True	False
test-637	False	True
test-638	True	False
test-639	True	False
test-640	True	False
test-641	True	False
test-642	False	True
test-643	False	True
test-644	False	True
test-645	True	False
test-646	True	False
test-647	True	False
test-648	True	False
test-649	True	False
test-650	False	True
test-651	False	True
test-652	True	False
test-653	False	True
test-654	False	True
test-655	False	True
test-656	True	False
test-657	False	True
test-658	False	True
test-659	False	True
test-660	True	False
test-661	False	True
test-662	False	True
test-663	False	True
test-664	True	False
test-665	False	True
test-666	False	True
test-667	False	True
test-668	False	True
test-669	True	False
test-670	False	True
test-671	False	True
test-672	True	False
test-673	False	True
test-674	False	True
test-675	True	False
test-676	True	False
test-677	True	False
test-678	False	True
test-679	True	False
test-680	False	True
test-681	False	True
test-682	False	True
test-683	False	True
test-684	False	True
test-685	False	False
test-686	False	True
test-687	False	True
test-688	True	False
test-689	False	True
test-690	False	True
test-691	False	True
test-692	False	True
test-693	False	True
test-694	True	False
test-695	False	True
test-696	False	True
test-697	False	True
test-698	False	True
test-699	False	True
test-700	False	True
test-701	True	False
test-702	False	True
test-703	True	False
test-704	False	True
test-705	False	True
test-706	True	False
test-707	True	False
test-708	True	False
test-709	True	False
test-710	False	True
test-711	False	True
test-712	False	True
test-713	False	True
test-714	False	True
test-715	True	False
test-716	False	True
test-717	True	False
test-718	True	False
test-719	False	True
test-720	True	False
test-721	False	True
test-722	False	True
test-723	False	True
test-724	False	True
test-725	True	False
test-726	True	False
test-727	False	True
test-728	True	False
test-729	False	True
test-730	False	True
test-731	False	True
test-732	False	True
test-733	False	True
test-734	False	True
test-735	True	False
test-736	False	True
test-737	False	True
test-738	False	True
test-739	False	True
test-740	True	False
test-741	False	True
test-742	False	True
test-743	False	True
test-744	True	False
test-745	True	False
test-746	True	False
test-747	False	True
test-748	False	True
test-749	False	True
test-750	True	False
test-751	True	False
test-752	True	False
test-753	False	True
test-754	False	True
test-755	False	True
test-756	False	True
test-757	False	True
test-758	False	True
test-759	False	False
test-760	True	False
test-761	False	True
test-762	False	True
test-763	True	False
test-764	False	True
test-765	False	True
test-766	False	True
test-767	False	True
test-768	True	False
test-769	False	True
test-770	False	True
test-771	False	True
test-772	False	True
test-773	True	False
test-774	False	True
test-775	False	True
test-776	False	True
test-777	False	True
test-778	True	False
test-779	False	True
test-780	True	False
test-781	False	True
test-782	False	True
test-783	False	True
test-784	False	True
test-785	False	True
test-786	True	False
test-787	False	True
test-788	False	True
test-789	False	True
test-790	False	True
test-791	False	True
test-792	False	True
test-793	False	True
test-794	False	True
test-795	True	False
test-796	True	False
test-797	False	True
test-798	False	True
test-799	False	True
test-800	False	True
test-801	True	False
test-802	False	True
test-803	False	True
test-804	True	False
test-805	False	True
test-806	False	True
test-807	False	True
test-808	True	False
test-809	False	True
test-810	False	True
test-811	False	True
test-812	False	True
test-813	True	False
test-814	False	True
test-815	True	False
test-816	False	True
test-817	True	False
test-818	False	True
test-819	False	True
test-820	False	True
test-821	False	True
test-822	True	False
test-823	False	True
test-824	True	False
test-825	False	True
test-826	False	True
test-827	True	False
test-828	False	True
test-829	False	True
test-830	True	False
test-831	True	False
test-832	True	False
test-833	False	True
test-834	False	True
test-835	False	True
test-836	True	False
test-837	True	False
test-838	False	True
test-839	False	True
test-840	True	False
test-841	True	False
test-842	False	True
test-843	False	True
test-844	True	False
test-845	True	False
test-846	False	True
test-847	True	False
test-848	False	True
test-849	False	True
test-850	True	False
test-851	False	True
test-852	True	False
test-853	True	False
test-854	True	False
test-855	False	True
test-856	False	True
test-857	False	True
test-858	False	True
test-859	False	True
test-860	False	True
test-861	False	True
test-862	False	True
test-863	False	True
test-864	True	False
test-865	False	True
test-866	False	True
test-867	False	True
test-868	False	True
test-869	True	False
test-870	False	True
test-871	False	True
test-872	False	True
test-873	False	True
test-874	True	False
test-875	True	False
test-876	False	True
test-877	True	False
test-878	False	True
test-879	False	True
test-880	True	False
test-881	False	True
test-882	False	True
test-883	False	True
test-884	False	True
test-885	False	True
test-886	True	False
test-887	False	True
test-888	True	False
test-889	False	True
test-890	False	True
test-891	False	True
test-892	False	True
test-893	False	True
test-894	False	True
test-895	False	True
test-896	False	True
test-897	True	False
test-898	False	True
test-899	False	True
test-900	True	False
test-901	False	True
test-902	True	False
test-903	False	True
test-904	False	True
test-905	True	False
test-906	True	False
test-907	False	True
test-908	True	False
test-909	False	True
test-910	False	True
test-911	False	True
test-912	True	False
test-913	False	True
test-914	False	True
test-915	False	True
test-916	False	True
test-917	True	False
test-918	False	True
test-919	False	True
test-920	False	True
test-921	False	True
test-922	False	True
test-923	False	True
test-924	False	True
test-925	False	True
test-926	False	True
test-927	True	False
test-928	True	False
test-929	False	True
test-930	True	False
test-931	False	True
test-932	False	False
test-933	False	True
test-934	False	True
test-935	False	True
test-936	True	False
test-937	False	True
test-938	True	False
test-939	False	True
test-940	False	False
test-941	False	True
test-942	False	True
test-943	False	True
test-944	True	False
test-945	False	True
test-946	True	False
test-947	False	True
test-948	False	True
test-949	True	False
test-950	False	True
test-951	False	True
test-952	False	True
test-953	False	True
test-954	True	False
test-955	False	True
test-956	False	True
test-957	True	False
test-958	False	True
test-959	True	False
test-960	True	False
test-961	False	True
test-962	False	True
test-963	False	True
test-964	False	True
test-965	False	True
test-966	True	False
test-967	False	True
test-968	False	True
test-969	False	True
test-970	True	False
test-971	True	False
test-972	True	False
test-973	False	True
test-974	False	True
test-975	True	False
test-976	True	False
test-977	False	True
test-978	False	True
test-979	False	True
test-980	False	True
test-981	True	False
test-982	True	False
test-983	False	True
test-984	True	False
test-985	True	False
test-986	False	True
test-987	True	False
test-988	False	True
test-989	True	False
test-990	False	True
test-991	False	True
test-992	False	True
test-993	True	False
test-994	True	False
test-995	False	True
test-996	True	False
test-997	True	False
test-998	False	True
test-999	False	True
test-1000	False	True
test-1001	False	True
test-1002	False	True
test-1003	False	True
test-1004	False	True
test-1005	True	False
test-1006	False	True
test-1007	False	True
test-1008	False	True
test-1009	False	True
test-1010	False	True
test-1011	False	True
test-1012	True	False
test-1013	False	True
test-1014	False	True
test-1015	True	False
test-1016	False	True
test-1017	False	True
test-1018	False	True
test-1019	True	False
test-1020	True	False
test-1021	True	False
test-1022	False	True
test-1023	True	False
test-1024	False	True
